bengali,english
Anaet,এনায়েত
Arfan,এরফান
Baki,বাকী
Bashir,বাশীর
Bashit,বাসিত
Basit,বাসিত
Baten,বাতেন
Borhan,বোরহান
Borkat,বরকত
Daian,দাইয়ান
Delower,দেলওয়ার
Dider,দীদার
Dilder,দিলদার
Diwone,দিওয়ান
Eahram,ইহরাম
Ehefaz,ইহফাজ
Ehesan,ইহসান
Ehesas,ইহসাস
Emaet,এনায়েত
Emdad,এমদাদ
Enamul,এনামুল
Erfan,এরফান
Ezaz,এ’যায
Fahad,ফাহাদ
Fahiaz,ফাইয়ায
Fahim,ফাহীম
Fahim,ফাহিম
Fahim,ফাহিম
Farhan,ফারহান
Farij,ফারিজ
Faysal,ফয়সাল
Firhad,ফরহাদ
Forhad,ফরহাদ
Forid,ফরিদ
Forman,ফরমান
Foyez,ফয়েজ
Foyez,ফয়েজ
Fozlu,ফযলু
Fuad,ফুয়াদ
Gaffer,গাফফার
Gahnem,গানেম
Galib,গালিব
Gias,গিয়াস
Gofran,গোফরান
Gofur,গফুর
Gohor,গওহার
Hanif,হানিফ
Hossain,হোসাইন
Ismail,ইসমাঈল
Jafor,জাফর
Jahid,জাহীদ
Jaki,যাকী
Jamal,জামাল
Jamal,জামাল
Jamil,জামীল
Jamil,জামীল
Jarif,জারীফ
Jarif,জারিফ
Jarir,জারীর
Jawad,জওয়াদ
Jayed,যায়েদ
Jolil,জলীল
Jubair,যুবাইর
Junada,জুনাদা
Kader,কাদের
Kafif,খফীফ
Kalam,কালাম
Kashem,কাসিম
Kassab,কাশশাব
Kassam,কাসসাম
Kawab,কাওকাব
Khalaf,খালাফ
Khaled,খালেদ
Khattab,খাত্তাব
Kholil,খলীল
Kibria,কিবরিয়া
Labhan,নাবহান
Maimun,মাইমূন
Mamduh,মামদুহ
Mamun,মামুন
Mamun,মামুন
Maqhul,মাকহুল
Masum,মাসুম
Masum,মাসুম
Mazid,মাযীদ
Momin,মুমিন
Morshed,মোরশেদ
Mubassir,মুবাশশির
Muin,মূঈন
Murad,মুরাদ
Murtaha,মুরতাহ
Mustafiz,মুস্তাফিজুর
Mustafiz,মুস্তাফিজ
Mustaq,মুশতাক
Nabil,নাবীল
Nadim/,নাদীম
Nafis,নাফিস
Nafis,নাফিস
Najib,নাজিব
Najir,নাজির
Nakib,নকীব
Nasir,নাসির
Nayb,নায়ীব
Nayem,নাঈম
Nayem,নাঈম
Nayem,নাঈম
Nesar,নেসার
Niyz,নিয়ায
Qudama,কুদামা
Rafiq,রফিক
Rahman,রহমান
Raian,রাইয়্যান
Sakib,সাকিব
Taher,তাহের
Tahmid,তাহমীদ
Tajen,তাযিন
Taki,তাকি
Tamim,তামীম
Tamim,তামিম
Tamzeed,তামজিদ
Tanjel,তানজিল
Tanvir,তানভীর
Tariq,তারিক
Taslim,তাসলিম
Taslim,তাসলীম
Taus,তাউস
Tofael,তোফায়েল
Tofazzal,তাফাজ্জল
Usaid,উসাইদ
Usama,উসামা
Wadud,ওয়াদুদ
Wahab,ওয়াহাব
Wahid,ওয়াহীদ
Wais Qarni,উয়ায়েস করণী
Wakar,ওয়াকার
Walid,ওয়ালীদ
Walid,ওয়ালীদ
Zahid,জাহীদ
Zia,জিয়
Zohir,জহির
