bengali,english
Aklima,আকলিমা
Habiba,হাবীবা
Hafiza,হাফিজাহ
Halima,হালিমা
Hamida,হামিদা
Hasina,হাসিনা
Hasna,হাসনা
Hena,হেনা
Homaira,হোমায়রা
Homaira,হোমায়রা
Hujafa,হুযাফা
Humayra,হুমায়রা
Jahora,যাহরা
Jakiah,যাকীয়াহ
Jarin,যারীন
Jeba,যেবা
Jenat,যীনাত
Junnar,যুন্নার
Labiba,লাবীবা
Labiba,লবীবা
Laila,লায়লা
Lamia,লামিসা
Lubaba,লুবাবা
Lubaba,লুবাবা
Lubaba,লুবাবা
Lubna,লুবনা
Muajjma,মুয়াজ্জমা
Mubassira,মুবাশশিরা
Mumtaj,মুমতাজ
Murshida,মুরশীদা
Musarrat,মুসাররাত
Musarrat,মুসাররাত
Mustari,মুশতারী
Rabab,রাবাব
Rabiah,রাবিয়াহ
Radiah,রাদিআহ
Rafia,রাফিয়া
Rahana,রায়হানা
Rahila,রাহিলা
Rahima,রহিমা
Raihana,রাইহানা
Raisa,রাইসা
Rakika,রাকিকা
Ramisa,রামিসা
Ramla,রামলা
Rashida,রাশীদা
Rawnaf,রাওনাফ
Rawsan,রওশান
Rezah,রেযাহ
Rima,রীমা
Rima,রীমা
Rosni,রোশনী
Rowsan,রওশান
Rufaida,রুফাইদা
Rumali,রুমালী
Rummon,রুম্মন
Sabana,শাবানা
Sabiha,সাবিহা
Sadia,সাদীয়া
Sadia,সাদিয়া
Safhia,শাফিয়া
Safia,সাফিয়া
Sahabi,সাহেবী
Sahana,শাহানা
Saheby,সাহেবী
Sahnaz,শাহনাজ
Saida,সায়ীদা
Saima,সালীমা
Saira,শায়িরা
Saiyda,সাইদা
Sajeda,সাজেদা
Sakera,সাকেরা
Sakila,শাকিলা
Salma,সালমা
Salma,সালমা
Salwa,সালওয়া
Samia,সামিয়া
Samiha,সামীহা
Samima,সায়িমা
Samima,শামীমা
Sanna,সান্না
Sarika,শারীকা
Sarmila,শার্মিলা
Sayia,সায়ীয়া
Sayra,শায়িরা
Sefha,শেফা
Sima,সীমা
Sirin,শিরিন
Suad,সুআদ
Subha,সুবাহ
Sufia,সুফিয়া
Suhra,শুহরাহ
Sukhi,সুখী
Sumaia,সুমাইয়্যা
Suraia,সুরাইয়া
Suraia,সুরাইয়া
